s,P
0.9570000000000001,0.10372957353918404
0.9580000000000001,0.10370540900839716
0.9590000000000001,0.10368121845889373
0.96,0.10365700191285025
0.961,0.103632759392443
0.962,0.10360849091984843
0.963,0.1035841965172429
0.964,0.10355987620680283
0.965,0.10353553001070465
0.966,0.10351115795112467
0.967,0.10348676005023932
0.968,0.10346233633022499
0.969,0.10343788681325809
0.97,0.10341341152151502
0.971,0.10338891047717212
0.972,0.1033643837024058
0.973,0.10333983121939251
0.974,0.10331525305030857
0.975,0.1032906492173304
0.976,0.10326601974263444
0.977,0.103241364648397
0.978,0.10321668395679452
0.979,0.10319197769000336
0.98,0.1031672458702
0.981,0.10314248851956072
0.982,0.103117705660168
0.983,0.10309289728147457
0.984,0.10306806329259856
0.985,0.10304320359051569
0.986,0.10301831807220187
0.987,0.10299340663463276
0.988,0.10296846917478424
0.989,0.10294350558963208
0.99,0.1029185157761521
0.991,0.10289349963132009
0.992,0.10286845705211183
0.993,0.10284338793550311
0.994,0.10281829217846977
0.995,0.10279316967798756
0.996,0.10276802033103233
0.997,0.10274284403457981
0.998,0.10271764068560585
0.999,0.10269241018108621
1.0,0.10266715241799673
1.0010000000000001,0.10264186729331319
1.002,0.10261655470401136
1.0030000000000001,0.10259121454706704
1.004,0.10256584671945607
1.0050000000000001,0.10254045111815421
1.006,0.10251502764013727
1.0070000000000001,0.10248957618238107
1.008,0.10246409664186136
1.0090000000000001,0.10243858891555395
1.01,0.10241305290043468
1.0110000000000001,0.1023874884934793
1.012,0.1023618955916636
1.0130000000000001,0.1023362740919634
1.014,0.10231062389135452
1.0150000000000001,0.1022849448868127
1.016,0.10225923697531379
1.0170000000000001,0.10223350005383358
